IID	species
AMB_5_3	arcana
BH_10_1	arcana
NE_E1_367_La	arcana
NE_E2_140_La	arcana
NE_E2_158_La	arcana
NE_E2_410_La	arcana
NE_E2_429_La	arcana
NE_E4_Larc_F_1	arcana
NE_E4_Larc_F_2	arcana
NE_F1_007_La	arcana
NE_F1_137_La	arcana
NE_F1_338_La	arcana
NE_F1_371_La	arcana
NOR_Larc_F_1	arcana
NOR_Larc_F_2	arcana
NOR_Larc_F_3	arcana
NOR_Larc_F_4	arcana
STA_Larc_F_1	arcana
STA_Larc_F_2	arcana
TF_130_La	arcana
W_arc_01_La	arcana
W_arc_02_La	arcana
W_arc_03_La	arcana
W_arc_04_Lamerged_sorted.bam	arcana
CEA_Larc_F_1	compressa
NE_F1_141_Lc	compressa
NOR_Lcom_F	compressa
W_com_01_Lc	compressa
83_AB1_Lsb	saxatilis_ssp_2
88_AB1_Lsb	saxatilis_ssp_2
ACF_1	saxatilis_ssp_2
ACF_2	saxatilis_ssp_2
ACF_3	saxatilis_ssp_2
ACF_4	saxatilis_ssp_2
BH_8_2	saxatilis_ssp_2
CEA_Larc_F_2	saxatilis_ssp_2
CEA_Lsax_F_1	saxatilis_ssp_2
CZA005_Ls	saxatilis_ssp_2
CZA020_Ls	saxatilis_ssp_2
CZA506_Ls	saxatilis_ssp_2
CZA524_Ls	saxatilis_ssp_2
CZD309_Ls	saxatilis_ssp_2
CZD390_Ls	saxatilis_ssp_2
CZD563_Ls	saxatilis_ssp_2
CZD565_Ls	saxatilis_ssp_2
DER_Lten_F	saxatilis_ssp_2
DER_Lten_M	saxatilis_ssp_2
IMI_6_2	saxatilis_ssp_2
LR_11_Ls	saxatilis_ssp_2
LR_14_Ls	saxatilis_ssp_2
NE_E1_022_Lsb	saxatilis_ssp_2
NE_E2_023_Lsb	saxatilis_ssp_2
NE_E2_030_Lsax_F	saxatilis_ssp_2
NE_E2_151_Ls	saxatilis_ssp_2
NE_E2_159_Ls	saxatilis_ssp_2
NE_E2_382_Ls	saxatilis_ssp_2
NE_E2_439_Ls	saxatilis_ssp_2
NE_F1_003_Ls	saxatilis_ssp_2
NE_F1_087_Lsb	saxatilis_ssp_2
NE_F1_134_Ls	saxatilis_ssp_2
NE_F1_263_Lsb	saxatilis_ssp_2
NE_F1_333_Ls	saxatilis_ssp_2
NE_F1_373_Lsb	saxatilis_ssp_2
NE_W1_331_Lsax_F	saxatilis_ssp_2
NE_W1_356_Lsax_M	saxatilis_ssp_2
NOR_Lsax_F_1	saxatilis_ssp_2
NOR_Lsax_F_2	saxatilis_ssp_2
NOR_Lsax_F_3	saxatilis_ssp_2
NOR_Lsax_F_4	saxatilis_ssp_2
OBI_12_5	saxatilis_ssp_2
PSM2_4_4	saxatilis_ssp_2
STA_Lsax_F_1	saxatilis_ssp_2
STA_Lsax_F_2	saxatilis_ssp_2
SWE_Lten_F	saxatilis_ssp_2
SWE_Lten_M	saxatilis_ssp_2
TCF_1	saxatilis_ssp_2
TCF_2	saxatilis_ssp_2
TCF_3	saxatilis_ssp_2
TCF_4	saxatilis_ssp_2
TF_155_La	saxatilis_ssp_2
TF9_153_Ls	saxatilis_ssp_2
TF9_157_Ls	saxatilis_ssp_2
TWF_1	saxatilis_ssp_2
TWF_2	saxatilis_ssp_2
TWF_3	saxatilis_ssp_2
TWF_4	saxatilis_ssp_2
W_sax_01_Ls	saxatilis_ssp_2
W_sax_02_Ls	saxatilis_ssp_2
W_sax_03_Ls	saxatilis_ssp_2
W_sax_04_Ls	saxatilis_ssp_2
WS_female_Ls	saxatilis_ssp_2
WS_male_Ls	saxatilis_ssp_2
York_B-1_Ls	saxatilis_ssp_2
York_B-12_Ls	saxatilis_ssp_2
York_T-3_Ls	saxatilis_ssp_2
York_T-9_Ls	saxatilis_ssp_2
BUR_Lsax_F	saxatilis_ssp_1
BUR_Lsax_M	saxatilis_ssp_1
ER_EA1_073_Ls	saxatilis_ssp_1
ER_EA1_116_Ls	saxatilis_ssp_1
ER_EA1_463_Ls	saxatilis_ssp_1
ER_EA1_468_Ls	saxatilis_ssp_1
ER_EA1_547	saxatilis_ssp_1
ER_EA2_029	saxatilis_ssp_1
ER_EA2_569	saxatilis_ssp_1
ER_EB1_100_Ls	saxatilis_ssp_1
ER_EB1_101_Ls	saxatilis_ssp_1
ER_EB1_266_Ls	saxatilis_ssp_1
