IID	location
83_AB1_Lsb	Wales
88_AB1_Lsb	Wales
ACF_1	Anglesey
ACF_2	Anglesey
ACF_3	Anglesey
ACF_4	Anglesey
BH_8_2	Wales
CEA_Larc_F_2	Ireland
CEA_Lsax_F_1	Ireland
CZA005_Ls	Sweden3
CZA020_Ls	Sweden3
CZA506_Ls	Sweden3
CZA524_Ls	Sweden3
CZD309_Ls	Sweden3
CZD390_Ls	Sweden3
CZD563_Ls	Sweden3
CZD565_Ls	Sweden3
DER_Lten_F	Dersingham
DER_Lten_M	Dersingham
IMI_6_2	Isle_mull
LR_11_Ls	Iceland
LR_14_Ls	Iceland
NE_E1_022_Lsb	England
NE_E2_023_Lsb	England
NE_E2_030_Lsax_F	England
NE_E2_151_Ls	England
NE_E2_159_Ls	England
NE_E2_382_Ls	England
NE_E2_439_Ls	England
NE_F1_003_Ls	France
NE_F1_087_Lsb	France
NE_F1_134_Ls	France
NE_F1_263_Lsb	France
NE_F1_333_Ls	France
NE_F1_373_Lsb	France
NE_W1_331_Lsax_F	Wales
NE_W1_356_Lsax_M	Wales
NOR_Lsax_F_1	Norway
NOR_Lsax_F_2	Norway
NOR_Lsax_F_3	Norway
NOR_Lsax_F_4	Norway
OBI_12_5	Oban 
PSM2_4_4	Port_st_mary
STA_Lsax_F_1	St_abs
STA_Lsax_F_2	St_abs
SWE_Lten_F	Sweden_2
SWE_Lten_M	Sweden_3
TCF_1	Tornwick
TCF_2	Tornwick
TCF_3	Tornwick
TCF_4	Tornwick
TF_155_La	Norway_2
TF9_153_Ls	Norway_3
TF9_157_Ls	Norway_4
TWF_1	Tornwick
TWF_2	Tornwick
TWF_3	Tornwick
TWF_4	Tornwick
W_sax_01_Ls	Wales
W_sax_02_Ls	Wales
W_sax_03_Ls	Wales
W_sax_04_Ls	Wales
WS_female_Ls	Russia
WS_male_Ls	Russia
York_B-1_Ls	USA
York_B-12_Ls	USA
York_T-3_Ls	USA
York_T-9_Ls	USA
